scope,strategy,n,mean_pct,net_pct,median_pct,win_pct,sharpe,sharpe_ci_lo,sharpe_ci_hi,max_dd_pct,vs_hold_sharpediff_lo,vs_hold_sharpediff_hi,p_beats_hold
OVERALL,HOLD_T5,41923,1.832,1.482,0.699,57.5,2.33,1.953,2.701,-63.4,0.0,0.0,0.0
OVERALL,FIXED_TP10_SL5,41923,0.862,0.512,0.0,45.4,0.983,0.592,1.375,-52.5,-1.612,-1.081,0.0
OVERALL,FIXED_TP7_SL3,41923,0.593,0.243,0.0,39.4,0.248,-0.128,0.645,-45.0,-2.369,-1.769,0.0
OVERALL,FIXED_TP5_SL3,41923,0.524,0.174,0.0,42.8,-0.055,-0.447,0.346,-46.1,-2.702,-2.066,0.0
OVERALL,FIXED_TP3_SL2,41923,0.288,-0.062,0.0,42.1,-1.534,-1.922,-1.136,-84.6,-4.25,-3.488,0.0
OVERALL,ATR_BRACKET,41923,0.505,0.155,3.0,58.1,-0.195,-0.569,0.198,-59.2,-2.835,-2.201,0.0
regime=bear_trend,HOLD_T5,9622,2.457,2.107,1.657,60.7,1.351,0.938,1.777,-65.7,0.0,0.0,0.0
regime=bear_trend,FIXED_TP10_SL5,9622,1.23,0.88,0.0,48.2,0.683,0.25,1.097,-62.0,-1.079,-0.299,0.0
regime=bear_trend,FIXED_TP7_SL3,9622,0.888,0.538,-0.517,41.5,0.35,-0.085,0.759,-45.4,-1.44,-0.581,0.0
regime=bear_trend,FIXED_TP5_SL3,9622,0.771,0.421,0.0,46.2,0.105,-0.34,0.497,-51.6,-1.727,-0.795,0.0
regime=bear_trend,FIXED_TP3_SL2,9622,0.401,0.051,0.0,45.6,-0.991,-1.463,-0.569,-88.6,-2.852,-1.826,0.0
regime=bear_trend,ATR_BRACKET,9622,0.675,0.325,3.0,64.2,-0.436,-0.831,0.008,-83.4,-2.24,-1.328,0.0
regime=bull_trend,HOLD_T5,32301,1.646,1.296,0.484,56.5,2.082,1.693,2.476,-77.0,0.0,0.0,0.0
regime=bull_trend,FIXED_TP10_SL5,32301,0.752,0.402,0.0,44.6,0.768,0.386,1.16,-61.2,-1.597,-0.999,0.0
regime=bull_trend,FIXED_TP7_SL3,32301,0.505,0.155,0.0,38.7,0.022,-0.382,0.405,-55.3,-2.399,-1.679,0.0
regime=bull_trend,FIXED_TP5_SL3,32301,0.45,0.1,0.0,41.8,-0.254,-0.676,0.144,-55.1,-2.67,-1.971,0.0
regime=bull_trend,FIXED_TP3_SL2,32301,0.255,-0.095,0.0,41.0,-1.508,-1.929,-1.114,-85.1,-4.014,-3.198,0.0
regime=bull_trend,ATR_BRACKET,32301,0.455,0.105,1.94,56.3,-0.234,-0.624,0.163,-62.5,-2.635,-1.969,0.0
"bucket=[0.65,0.70)",HOLD_T5,34251,1.404,1.054,0.509,55.9,1.705,1.304,2.102,-64.8,0.0,0.0,0.0
"bucket=[0.65,0.70)",FIXED_TP10_SL5,34251,0.796,0.446,0.0,46.0,0.965,0.574,1.323,-50.7,-1.015,-0.483,0.0
"bucket=[0.65,0.70)",FIXED_TP7_SL3,34251,0.556,0.206,0.0,40.0,0.283,-0.099,0.66,-44.1,-1.732,-1.096,0.0
"bucket=[0.65,0.70)",FIXED_TP5_SL3,34251,0.491,0.141,0.0,43.3,0.013,-0.378,0.393,-44.6,-2.025,-1.33,0.0
"bucket=[0.65,0.70)",FIXED_TP3_SL2,34251,0.278,-0.072,0.0,42.6,-1.244,-1.643,-0.86,-80.6,-3.348,-2.568,0.0
"bucket=[0.65,0.70)",ATR_BRACKET,34251,0.478,0.128,3.0,58.4,-0.048,-0.433,0.334,-56.3,-2.072,-1.444,0.0
"bucket=[0.70,0.75)",HOLD_T5,6136,2.691,2.341,1.589,63.1,1.853,1.441,2.253,-69.3,0.0,0.0,0.0
"bucket=[0.70,0.75)",FIXED_TP10_SL5,6136,1.149,0.799,0.0,46.5,0.458,0.041,0.87,-77.0,-1.797,-0.993,0.0
"bucket=[0.70,0.75)",FIXED_TP7_SL3,6136,0.752,0.402,0.0,39.5,-0.034,-0.453,0.411,-72.6,-2.348,-1.439,0.0
"bucket=[0.70,0.75)",FIXED_TP5_SL3,6136,0.692,0.342,0.0,44.2,-0.247,-0.67,0.174,-68.2,-2.558,-1.643,0.0
"bucket=[0.70,0.75)",FIXED_TP3_SL2,6136,0.353,0.003,0.0,43.5,-1.343,-1.811,-0.921,-93.6,-3.721,-2.686,0.0
"bucket=[0.70,0.75)",ATR_BRACKET,6136,0.673,0.323,3.0,62.1,-0.425,-0.834,-0.022,-82.5,-2.721,-1.801,0.0
"bucket=[0.75,0.85)",HOLD_T5,1308,7.497,7.147,4.142,68.3,1.351,1.069,2.578,-90.2,0.0,0.0,0.0
"bucket=[0.75,0.85)",FIXED_TP10_SL5,1308,1.281,0.931,0.0,32.1,0.828,0.276,1.338,-51.6,-1.881,0.034,0.035
"bucket=[0.75,0.85)",FIXED_TP7_SL3,1308,0.838,0.488,0.0,27.4,0.298,-0.268,0.809,-46.4,-2.441,-0.495,0.0
"bucket=[0.75,0.85)",FIXED_TP5_SL3,1308,0.631,0.281,0.0,29.6,-0.045,-0.667,0.534,-49.6,-2.802,-0.804,0.0
"bucket=[0.75,0.85)",FIXED_TP3_SL2,1308,0.275,-0.075,0.0,28.0,-1.107,-1.705,-0.535,-74.3,-3.835,-1.888,0.0
"bucket=[0.75,0.85)",ATR_BRACKET,1308,0.463,0.113,0.0,39.5,-0.551,-1.098,-0.006,-71.6,-3.243,-1.351,0.0
"bucket=[0.85,1.01)",HOLD_T5,228,10.564,10.214,16.819,78.1,5.763,4.378,7.395,-57.6,0.0,0.0,0.0
"bucket=[0.85,1.01)",FIXED_TP10_SL5,228,0.589,0.239,0.0,9.6,0.829,-0.094,1.652,-31.9,-6.642,-3.46,0.0
"bucket=[0.85,1.01)",FIXED_TP7_SL3,228,0.409,0.059,0.0,8.3,0.405,-0.609,1.289,-26.0,-7.226,-3.908,0.0
"bucket=[0.85,1.01)",FIXED_TP5_SL3,228,0.251,-0.099,0.0,8.3,-0.246,-1.338,0.748,-26.0,-7.884,-4.494,0.0
"bucket=[0.85,1.01)",FIXED_TP3_SL2,228,0.167,-0.183,0.0,8.8,-1.084,-2.344,-0.071,-31.1,-8.861,-5.198,0.0
"bucket=[0.85,1.01)",ATR_BRACKET,228,0.268,-0.082,0.0,11.8,-0.19,-1.225,0.858,-15.3,-7.751,-4.274,0.0
